DATE,GDPC1,CPIAUCSL,FEDFUNDS,INDPRO,PAYEMS,UNRATE
1959-01-01,2976.6,29.01,2.48,22.7253,52480.0,6.0
1959-04-01,3049.0,28.98,2.96,24.0048,53320.0,5.2
1959-07-01,3043.1,29.15,3.47,23.8101,53803.0,5.1
1959-10-01,3055.1,29.35,3.98,22.8087,53359.0,5.7
1960-01-01,3123.2,29.37,3.99,25.0061,54274.0,5.2
1960-04-01,3111.3,29.54,3.92,24.3664,54812.0,5.2
1960-07-01,3119.1,29.55,3.23,23.9492,54304.0,5.5
1960-10-01,3081.3,29.75,2.47,23.6432,54144.0,6.1
1961-01-01,3102.3,29.84,1.45,22.8922,53683.0,6.6
1961-04-01,3159.9,29.81,1.49,23.4763,53626.0,7.0
1961-07-01,3212.6,29.92,1.17,24.4498,54123.0,7.0
1961-10-01,3277.7,29.98,2.26,25.1174,54522.0,6.5
1962-01-01,3336.8,30.04,2.15,25.5068,54891.0,5.8
1962-04-01,3372.7,30.21,2.78,26.1188,55602.0,5.6
1962-07-01,3404.8,30.22,2.71,26.2856,55746.0,5.4
1962-10-01,3418.0,30.38,2.9,26.5082,56041.0,5.4
1963-01-01,3456.1,30.44,2.92,26.8141,56116.0,5.7
1963-04-01,3501.1,30.48,2.9,27.5374,56580.0,5.7
1963-07-01,3569.5,30.69,3.02,27.8433,56794.0,5.6
1963-10-01,3595.0,30.75,3.5,28.3718,57284.0,5.5
1964-01-01,3672.7,30.94,3.48,28.7056,57487.0,5.6
1964-04-01,3716.4,30.95,3.47,29.3732,57922.0,5.3
1964-07-01,3766.9,31.02,3.42,29.8182,58413.0,4.9
1964-10-01,3780.2,31.12,3.36,29.707,58794.0,5.1
1965-01-01,3873.5,31.28,3.9,31.3203,59583.0,4.9
1965-04-01,3926.4,31.38,4.09,32.0713,60259.0,4.8
1965-07-01,4006.2,31.58,4.09,32.8779,60963.0,4.4
1965-10-01,4100.6,31.65,4.08,33.4343,61718.0,4.2
1966-01-01,4201.9,31.88,4.42,34.3243,62528.0,4.0
1966-04-01,4219.1,32.28,4.67,35.0754,63436.0,3.8
1966-07-01,4249.2,32.45,5.3,35.7707,64301.0,3.8
1966-10-01,4285.6,32.85,5.53,36.3827,64854.0,3.7
1967-01-01,4324.9,32.9,4.94,36.3866,65407.0,3.9
1967-04-01,4328.7,33.1,4.05,36.1085,65467.0,3.8
1967-07-01,4366.1,33.4,3.79,35.7075,65887.0,3.8
1967-10-01,4401.2,33.7,3.88,36.6285,66225.0,4.0
1968-01-01,4490.6,34.1,4.6,37.512,66805.0,3.7
1968-04-01,4566.4,34.4,5.76,37.8186,67555.0,3.5
1968-07-01,4599.3,34.9,6.02,38.3245,68125.0,3.7
1968-10-01,4619.8,35.3,5.91,38.6536,68720.0,3.4
1969-01-01,4691.6,35.7,6.3,39.5148,69438.0,3.4
1969-04-01,4706.7,36.3,7.41,39.932,70072.0,3.4
1969-07-01,4736.1,36.8,8.61,40.3818,70729.0,3.5
1969-10-01,4715.5,37.3,9.0,40.4774,71120.0,3.7
1970-01-01,4707.1,37.9,8.98,39.2477,71176.0,3.9
1970-04-01,4715.4,38.5,8.1,39.0702,71348.0,4.6
1970-07-01,4757.2,38.9,7.21,38.994,71053.0,5.0
1970-10-01,4708.3,39.4,6.2,37.8829,70519.0,5.5
1971-01-01,4834.3,39.9,4.14,38.8144,70866.0,5.9
1971-04-01,4861.9,40.1,4.15,38.9158,71037.0,5.9
1971-07-01,4900.0,40.6,5.31,39.1633,71315.0,6.0
1971-10-01,4914.3,40.9,5.2,39.865,71642.0,5.8
1972-01-01,5002.4,41.2,3.5,41.4709,72445.0,5.8
1972-04-01,5118.3,41.5,4.17,42.6064,73163.0,5.7
1972-07-01,5165.4,41.8,4.55,42.6924,73708.0,5.6
1972-10-01,5251.2,42.2,5.04,44.1699,74673.0,5.6
1973-01-01,5380.5,42.7,5.94,45.498,75621.0,4.9
1973-04-01,5441.5,43.7,7.12,46.1272,76455.0,5.0
1973-07-01,5411.9,44.2,10.4,46.648,76911.0,4.8
1973-10-01,5462.4,45.6,10.01,47.2997,77606.0,4.6
1974-01-01,5417.0,46.8,9.65,47.1083,78104.0,5.1
1974-04-01,5431.3,48.1,10.51,46.83,78382.0,5.1
1974-07-01,5378.7,49.3,12.92,47.1505,78635.0,5.5
1974-10-01,5357.2,51.0,10.06,46.536,78629.0,6.0
1975-01-01,5292.4,52.3,7.13,42.8246,77297.0,8.1
1975-04-01,5333.2,53.0,5.49,41.4258,76461.0,8.8
1975-07-01,5421.4,54.0,6.1,42.0025,76769.0,8.6
1975-10-01,5494.4,54.9,5.82,43.1611,77535.0,8.4
1976-01-01,5618.5,55.8,4.87,44.4309,78506.0,7.9
1976-04-01,5661.0,56.1,4.82,45.1733,79292.0,7.7
1976-07-01,5689.8,57.0,5.31,45.6491,79547.0,7.8
1976-10-01,5732.5,57.9,5.02,46.1172,79905.0,7.7
1977-01-01,5799.2,58.7,4.61,47.023,80692.0,7.5
1977-04-01,5913.0,60.0,4.73,48.7789,81729.0,7.2
1977-07-01,6017.6,60.8,5.42,49.6389,82836.0,6.9
1977-10-01,6018.2,61.6,6.47,49.9859,83794.0,6.8
1978-01-01,6039.2,62.7,6.7,49.4201,84595.0,6.4
1978-04-01,6274.0,63.9,6.89,51.6639,86163.0,6.1
1978-07-01,6335.3,65.5,7.81,52.1834,87205.0,6.2
1978-10-01,6420.3,67.1,8.96,52.9384,87954.0,5.8
1979-01-01,6433.0,68.5,10.07,53.2837,88810.0,5.9
1979-04-01,6440.8,70.6,10.01,53.1571,89418.0,5.8
1979-07-01,6487.1,73.0,10.47,53.4808,90215.0,5.7
1979-10-01,6503.9,75.2,13.77,53.4617,90482.0,6.0
1980-01-01,6524.9,78.0,13.82,53.7071,90802.0,6.3
1980-04-01,6392.6,80.9,17.61,52.4571,90850.0,6.9
1980-07-01,6382.9,82.6,9.03,50.166,89837.0,7.8
1980-10-01,6501.2,84.7,12.81,51.8129,90491.0,7.5
1981-01-01,6635.7,87.2,19.08,52.7119,91037.0,7.5
1981-04-01,6587.3,89.1,15.72,52.5233,91283.0,7.2
1981-07-01,6662.9,91.5,19.04,53.4044,91602.0,7.2
1981-10-01,6585.1,93.4,15.08,52.6972,91380.0,7.9
1982-01-01,6475.0,94.4,13.22,50.4933,90567.0,8.6
1982-04-01,6510.2,95.0,14.94,50.6623,90152.0,9.3
1982-07-01,6486.8,97.5,12.59,50.0395,89522.0,9.8
1982-10-01,6493.1,98.1,9.71,49.011,88906.0,10.4
1983-01-01,6578.2,97.9,8.68,49.3992,88993.0,10.4
1983-04-01,6728.3,98.8,8.8,50.0805,89366.0,10.2
1983-07-01,6860.0,99.8,9.37,51.5016,90440.0,9.4
1983-10-01,7001.5,100.8,9.48,53.2874,91518.0,8.8
1984-01-01,7140.6,102.1,9.56,54.8216,92673.0,8.0
1984-04-01,7266.0,103.3,10.29,55.6911,93792.0,7.7
1984-07-01,7337.5,104.1,11.23,56.3326,94792.0,7.5
1984-10-01,7396.0,105.1,9.99,56.1943,95630.0,7.4
1985-01-01,7469.5,105.7,8.35,56.3801,96373.0,7.3
1985-04-01,7537.9,107.0,8.27,56.5122,97039.0,7.3
1985-07-01,7655.2,107.7,7.88,56.2637,97649.0,7.4
1985-10-01,7712.6,108.5,7.99,56.508,98233.0,7.1
1986-01-01,7784.1,109.9,8.14,57.5555,98734.0,6.7
1986-04-01,7819.8,108.7,6.99,56.8228,99122.0,7.1
