DATE,CPIAUCSL,FEDFUNDS,INDPRO,PAYEMS,UNRATE
1959-01-01,29.01,2.48,22.7253,52480.0,6.0
1959-02-01,29.0,2.43,23.1703,52687.0,5.9
1959-03-01,28.97,2.8,23.5041,53016.0,5.6
1959-04-01,28.98,2.96,24.0048,53320.0,5.2
1959-05-01,29.04,2.9,24.3664,53549.0,5.1
1959-06-01,29.11,3.39,24.3942,53679.0,5.0
1959-07-01,29.15,3.47,23.8101,53803.0,5.1
1959-08-01,29.18,3.5,23.0034,53334.0,5.2
1959-09-01,29.25,3.76,22.9756,53429.0,5.5
1959-10-01,29.35,3.98,22.8087,53359.0,5.7
1959-11-01,29.35,4.0,22.9478,53635.0,5.8
1959-12-01,29.41,3.99,24.3664,54175.0,5.3
1960-01-01,29.37,3.99,25.0061,54274.0,5.2
1960-02-01,29.41,3.97,24.7836,54513.0,4.8
1960-03-01,29.41,3.84,24.5611,54458.0,5.4
1960-04-01,29.54,3.92,24.3664,54812.0,5.2
1960-05-01,29.57,3.85,24.3386,54473.0,5.1
1960-06-01,29.61,3.32,24.0326,54347.0,5.4
1960-07-01,29.55,3.23,23.9492,54304.0,5.5
1960-08-01,29.61,2.98,23.9213,54271.0,5.6
1960-09-01,29.61,2.6,23.671,54228.0,5.5
1960-10-01,29.75,2.47,23.6432,54144.0,6.1
1960-11-01,29.78,2.44,23.3094,53962.0,6.1
1960-12-01,29.81,1.98,22.8643,53744.0,6.6
1961-01-01,29.84,1.45,22.8922,53683.0,6.6
1961-02-01,29.84,2.54,22.8643,53556.0,6.9
1961-03-01,29.84,2.02,23.0034,53662.0,6.9
1961-04-01,29.81,1.49,23.4763,53626.0,7.0
1961-05-01,29.84,1.98,23.8379,53785.0,7.1
1961-06-01,29.84,1.73,24.1717,53977.0,6.9
1961-07-01,29.92,1.17,24.4498,54123.0,7.0
1961-08-01,29.94,2.0,24.6723,54298.0,6.6
1961-09-01,29.98,1.88,24.6446,54388.0,6.7
1961-10-01,29.98,2.26,25.1174,54522.0,6.5
1961-11-01,29.98,2.61,25.5068,54743.0,6.1
1961-12-01,30.01,2.33,25.7293,54871.0,6.0
1962-01-01,30.04,2.15,25.5068,54891.0,5.8
1962-02-01,30.11,2.37,25.924,55187.0,5.5
1962-03-01,30.17,2.85,26.0631,55276.0,5.6
1962-04-01,30.21,2.78,26.1188,55602.0,5.6
1962-05-01,30.24,2.36,26.0909,55627.0,5.5
1962-06-01,30.21,2.68,26.0353,55644.0,5.5
1962-07-01,30.22,2.71,26.2856,55746.0,5.4
1962-08-01,30.28,2.93,26.3135,55838.0,5.7
1962-09-01,30.42,2.9,26.4804,55977.0,5.6
1962-10-01,30.38,2.9,26.5082,56041.0,5.4
1962-11-01,30.38,2.94,26.6194,56056.0,5.7
1962-12-01,30.38,2.93,26.6194,56028.0,5.5
1963-01-01,30.44,2.92,26.8141,56116.0,5.7
1963-02-01,30.48,3.0,27.1201,56230.0,5.9
1963-03-01,30.51,2.98,27.287,56322.0,5.7
1963-04-01,30.48,2.9,27.5374,56580.0,5.7
1963-05-01,30.51,3.0,27.8711,56616.0,5.9
1963-06-01,30.61,2.99,27.9546,56658.0,5.6
1963-07-01,30.69,3.02,27.8433,56794.0,5.6
1963-08-01,30.75,3.49,27.899,56910.0,5.4
1963-09-01,30.72,3.48,28.1771,57077.0,5.5
1963-10-01,30.75,3.5,28.3718,57284.0,5.5
1963-11-01,30.78,3.48,28.5109,57255.0,5.7
1963-12-01,30.88,3.38,28.4553,57360.0,5.5
1964-01-01,30.94,3.48,28.7056,57487.0,5.6
1964-02-01,30.91,3.48,28.9003,57751.0,5.4
1964-03-01,30.94,3.43,28.9003,57898.0,5.4
1964-04-01,30.95,3.47,29.3732,57922.0,5.3
1964-05-01,30.98,3.5,29.5401,58089.0,5.1
1964-06-01,31.01,3.5,29.6235,58221.0,5.2
1964-07-01,31.02,3.42,29.8182,58413.0,4.9
1964-08-01,31.05,3.5,30.0129,58619.0,5.0
1964-09-01,31.08,3.45,30.1242,58903.0,5.1
1964-10-01,31.12,3.36,29.707,58794.0,5.1
1964-11-01,31.21,3.52,30.6249,59217.0,4.8
1964-12-01,31.25,3.85,30.9865,59421.0,5.0
1965-01-01,31.28,3.9,31.3203,59583.0,4.9
1965-02-01,31.28,3.98,31.515,59800.0,5.1
1965-03-01,31.31,4.04,31.9322,60003.0,4.7
1965-04-01,31.38,4.09,32.0713,60259.0,4.8
